Month;Age;Occupation;Annual_Income;Monthly_Inhand_Salary;Num_Bank_Accounts;Num_Credit_Card;Interest_Rate;NumofLoan;Type_of_Loan;Delay_from_due_date;NumofDelayedPayment;ChangedCreditLimit;Num_Credit_Inquiries;CreditMix;Outstanding_Debt;Credit_Utilization_Ratio;Credit_History_Age;Payment_of_Min_Amount;Total_EMI_per_month;Amount_invested_monthly;Monthly_Balance;Credit_Score
January;23;Scientist;19114.12;1824.843333;3;4;3;4;Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan;3;7;11.27;4;;809.98;26.82261962;22 Years and 1 Months;No;49.57494921;80.41529544;312.4940887;Good
February;23;Scientist;19114.12;;3;4;3;4;Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan;-1;;11.27;4;Good;809.98;31.94496006;NA;No;49.57494921;118.2802216;284.6291625;Good
March;23;Scientist;19114.12;;3;4;3;4;Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan;3;7;;4;Good;809.98;28.60935202;22 Years and 3 Months;No;49.57494921;81.69952126;331.2098629;Good
April;23;Scientist;19114.12;;3;4;3;4;Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan;5;4;6.27;4;Good;809.98;31.37786187;22 Years and 4 Months;No;49.57494921;199.4580744;223.4513097;Good
May;23;Scientist;19114.12;1824.843333;3;4;3;4;Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan;6;;11.27;4;Good;809.98;24.79734691;22 Years and 5 Months;No;49.57494921;41.42015309;341.489231;Good
June;23;Scientist;19114.12;;3;4;3;4;Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan;8;4;9.27;4;Good;809.98;27.26225871;22 Years and 6 Months;No;49.57494921;62.43017233;340.4792118;Good
July;23;Scientist;19114.12;1824.843333;3;4;3;4;Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan;3;8;11.27;4;Good;809.98;22.53759303;22 Years and 7 Months;No;49.57494921;178.3440674;244.5653167;Good
August;23;Scientist;19114.12;1824.843333;3;4;3;4;Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan;3;6;11.27;4;Good;809.98;23.9337948;NA;No;49.57494921;24.78521651;358.1241676;Standard
January;28;_______;34847.84;3037.986667;2;4;6;1;Credit-Builder Loan;3;4;5.42;2;Good;605.03;24.46403064;26 Years and 7 Months;No;18.81621457;104.2918252;470.6906269;Standard
February;28;Teacher;34847.84;3037.986667;2;4;6;1;Credit-Builder Loan;7;1;7.42;2;Good;605.03;38.55084843;26 Years and 8 Months;No;18.81621457;40.39123783;484.5912143;Good
March;28;Teacher;34847.84;3037.986667;2;1385;6;1;Credit-Builder Loan;3;0;5.42;2;;605.03;33.22495079;26 Years and 9 Months;No;18.81621457;58.5159757;466.4664764;Standard
April;28;Teacher;34847.84;;2;4;6;1;Credit-Builder Loan;3;3;5.42;2;Good;605.03;39.18265566;26 Years and 10 Months;No;18.81621457;99.30622796;465.6762241;Good
May;28;Teacher;34847.84;3037.986667;2;4;6;1;Credit-Builder Loan;3;1;6.42;2;Good;605.03;34.97789475;26 Years and 11 Months;No;18.81621457;130.1154202;444.8670319;Good
June;28;Teacher;34847.84;3037.986667;2;4;6;1;Credit-Builder Loan;3;0;5.42;2;Good;605.03;33.3810102;27 Years and 0 Months;No;18.81621457;43.47719014;481.5052619;Good
July;28;Teacher;34847.84;;2;4;6;1;Credit-Builder Loan;3;4;5.42;2;Good;605.03;31.13170161;27 Years and 1 Months;NM;18.81621457;70.10177421;464.8806779;Good
August;28;Teacher;34847.84;3037.986667;2;4;6;1;Credit-Builder Loan;3;4;5.42;2;Good;605.03;32.93385629;27 Years and 2 Months;No;18.81621457;218.9043435;356.0781086;Good
January;34;_______;143162.64;12187.22;1;5;8;3;Auto Loan, Auto Loan, and Not Specified;5;8;7.1;3;Good;1303.01;28.61673482;17 Years and 9 Months;No;246.9923195;168.4137027;1043.315978;Good
February;34;Engineer;143162.64;12187.22;1;5;8;3;Auto Loan, Auto Loan, and Not Specified;13;6;7.1;3;Good;1303.01;41.70257342;17 Years and 10 Months;No;246.9923195;232.8603838;998.8692968;Good
March;34;_______;143162.64;;1;5;8;3;Auto Loan, Auto Loan, and Not Specified;8;7;11.1;;Good;1303.01;26.51981539;17 Years and 11 Months;No;246.9923195;10000;715.7413674;Good
April;34;Engineer;143162.64;12187.22;1;5;8;3;Auto Loan, Auto Loan, and Not Specified;8;5;9.1;3;;1303.01;39.50164811;NA;No;246.9923195;825.2162699;426.5134106;Good
